,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Avg
2015,419,425,425,426,427,427,428,432,430,392,383,381,4995,416
2016,378,375,369,364,362,359,347,351,362,359,359,358,4343,362
2017,351,351,224,223,224,222,222,214,213,248,245,242,2979,248
2018,242,242,244,241,236,234,234,238,241,240,239,236,2867,239
2019,229,229,229,232,237,240,237,239,238,239,243,242,2834,236
2020,227,227,227,228,227,225,225,224,223,223,225,225,2706,226
2021,225,227,227,225,225,224,225,225,228,227,228,228,2714,226
2022,229,228,228,228,228,228,231,232,232,232,225,223,2744,229
2023,218,212,208,206,204,0,0,0,0,0,0,0,1048,210
2024,187,188,187,188,188,189,190,191,191,192,190,190,2271,189
